"Tytul","Cena","Metraz","Dzielnica","Cena_m2"
Prądnik Czerw. | Promienistych | 3 Pok. z widokiem...,625000,44.88,Prądnik Czerwony,13926.02
PRZESTRONNE mieszkanie gotowe do zam. lub aranżacj...,899000,86.36,Nowa Huta,10409.91
Inwestycja z widokiem na miasto | parking | A4 499...,499000,37.53,Łagiewniki,119877.43
"Sprzedam 3-pokojowe mieszkanie 48.5m, blisko centr...",790000,48.5,Prądnik Biały,16288.66
"Mieszkanie 56m2, garaż + komórka lok. Bez prowizji...",784000,56.0,Podgórze Duchackie,14000.0
"Złocień  Agatowa ⭐29,5m2 / nowoczesna kawalerka do...",429000,29.5,Bieżanów,14542.37
Garsoniera idealna pod inwestycję! 372 000 zł Krak...,372000,20.0,Grzegórzki,18600.0
Komfortowe 3 pokoje z garażem oraz kom. lok. 765 0...,765000,53.17,Dębniki,14387.81
Mieszkanie z ogródkiem na parterze BEZ POŚREDNIKÓW...,670000,42.21,Dębniki,15873.02
Przestronne 2-pokojowe mieszkanie z balkonem 560 0...,560000,41.0,Krowodrza,13658.54
"2 pokoje | 1 piętro | balkon francuski 615 000 zł ...",615000,49.0,Nowa Huta,12551.02
"2 pokojowe sprzedam Centrum ok Akademi Ekonomiczne...",359800,25.7,Grzegórzki,14000.0
Sprzedam • Centrum Krakowa • 2 pokojowe • Ustawne ...,355000,28.45,Stare Miasto,12478.03
"3/4 pokoje, dwustronne, 54 m² | Dworcowa 689 000 z...",689000,54.0,Podgórze,12759.26
ul. Wierzyńskiego | 3 pokoje+aneks | 70 m2 ! 739 0...,739000,70.0,Bronowice,10557.14
"3-pokojowe mieszkanie w spokojnej okolicy 620 000 ...",620000,53.41,Bieńczyce,11608.31
"2 pokoje/ do remontu / Przy Wiśle! / do negocjacji...",459000,34.59,Dębniki,13269.73
Na Stoku - Ciche - 48m2 - 2 pok - balkon - piwnic ...,550000,48.0,Wzgórza Krzesławickie,11458.33
"3 pokoje, 44,33m2 + piwnica, ul. Spółdzielców umeb...",685000,44.33,Bieżanów,15452.29
"4 pokoje | winda | 3 balkony francuskie 1 250 000 ...",1250000,73.0,Nowa Huta,17123.29
Kawalerka z ogródkiem przy ul. Siewnej 287 000 zł ...,287000,21.0,Prądnik Biały,13666.67
"2 pokoje | 45 m² | taras 32 m² | ostatnie piętro |...",759000,45.0,Prądnik Biały,16866.67
"2 pokoje | Loggia | Widok na panoramę miasta 579 0...",579000,42.08,Prądnik Czerwony,13759.51
"---REZERWACJA---  Wola Duchacka, ul. Białoruska - ...",590000,45.0,Podgórze Duchackie,13111.11
Kraków | Borek Fałęcki (Polana Żywiecka) – 3 pokoj...,789350,65.0,Łagiewniki,12143.85
Mieszkanie Z Balkonem Z Panoramicznym Widokiem 449...,449000,30.0,Krowodrza,14966.67
Zamieszkaj w samym sercu Podgórza 999 000 zł Krakó...,999000,75.64,Podgórze,13207.3
Kawalerka z balkonem idealna pod inwestycję 287 00...,287000,17.41,Krowodrza,16484.78
"62m2,dwupoziomowe, garaż 20m2, ul. Rezedowa Prądni...",867000,62.0,Prądnik Czerwony,13983.87
"Mieszkanie idealne zarówno dla singla, pary, inwes...",460000,36.11,Bieńczyce,12738.85
Dwupokojowe mieszkanie z loggią - wygodny układ 59...,590000,38.8,Podgórze Duchackie,15206.19
Kraków sprzedaż /zamiana mieszkanie dwupokojowe ul...,497000,36.0,Prądnik Biały,13805.56
Taras na dachu | Wysokość 5m | Do wejścia 1 938 00...,1938000,97.39,Dębniki,19899.37
Kawalerka / Studio 21 m² • Azory • parking 325 000...,325000,21.0,Prądnik Biały,15476.19
